"plotid","sample_year","hrs_14_20","hrs_abv25","hrs_blw10","avg_tmax","avg_tmin"
"ANN01",2004,714,59,2663,14.7053990610329,7.28234741784038
"ANN01",2005,625,6,2615,13.8858722607524,7.08609959392551
"ANN01",2006,627,16,2737,13.8866981132075,6.95495283018868
"ANN01",2007,732,40,2615,14.8304716981132,6.6877358490566
"ANN01",2008,629,20,2909,13.6078918051502,6.56108574762871
"ANN01",2009,755,61,2615,14.7220283018868,6.9260141509434
"ANN01",2010,510,0,3165,13.233891509434,6.34200471698113
"ANN01",2011,656,13,2937,13.4770518867925,6.47308962264151
"ANN01",2012,720,42,2783,14.7507018779343,6.71861502347418
"ANN01",2014,795,14,1702,15.7939786175034,7.75097097736361
"ANN02",2004,735,68,2710,14.6935934841653,7.31248470414099
"ANN02",2005,611,7,2739,13.7536945083277,7.06329498462027
"ANN02",2006,636,23,2789,13.9220283018868,6.92061320754717
"ANN02",2007,726,41,2752,14.7220981501113,6.51594424648609
"ANN02",2008,635,20,3019,13.3197419967654,6.55333765824751
"ANN02",2009,714,60,2662,14.5371603773585,6.96314858490566
"ANN02",2010,498,0,3199,13.2346014150943,6.30032783018868
"ANN02",2011,633,13,2976,13.2279221698113,6.48610377358491
"ANN02",2012,703,49,2813,14.7800821596244,6.62139436619718
"ANN02",2014,758,15,1759,15.6907153607609,7.66944672644668
"ANN03",2004,759,42,2597,14.1847531296934,8.0019014084507
"ANN03",2005,661,3,2407,13.5672349288747,7.7644267085706
"ANN03",2006,720,13,2652,13.5666098926809,7.5514858490566
"ANN03",2007,799,26,2421,14.5084433962264,7.35547169811321
"ANN03",2008,694,11,2706,13.3651299813406,7.22912670260106
"ANN03",2009,759,50,2458,14.2928466981132,7.4771391509434
"ANN03",2010,551,0,3124,12.7736556603774,6.86144103773585
"ANN03",2011,680,11,2866,13.0941910377358,7.02247641509434
"ANN03",2012,770,29,2527,14.4594788732394,7.36228403755869
"ANN03",2014,967,15,1370,15.6159513263591,8.52002152952764
"ANN04",2004,756,86,2654,15.2370657276995,7.77239436619718
"ANN04",2005,672,19,2542,14.2663355819983,7.49430820076902
"ANN04",2006,741,34,2676,14.3501179245283,7.44054245283019
"ANN04",2007,812,51,2439,15.4011320754717,7.33728773584906
"ANN04",2008,769,28,2716,14.1063170362391,7.10959630122048
"ANN04",2009,812,73,2423,15.4783514150943,7.63712252817307
"ANN04",2010,584,9,3058,13.8388537735849,6.85970754716981
"ANN04",2011,742,26,2798,14.2746981132075,6.99445754716981
"ANN04",2012,771,71,2478,15.5881314553991,7.40859624413146
"ANN04",2014,1055,21,1375,16.4020672905548,8.66537645599551
"ANN05",2004,743,87,2755,15.0954871796945,7.53645539906103
"ANN05",2005,641,19,2618,14.1056394654795,7.34707743222012
"ANN05",2006,696,27,2694,14.2233009690155,7.29692605163925
"ANN05",2007,785,45,2525,15.2676583389812,7.2508701810309
"ANN05",2008,723,26,2794,14.155413043838,6.98316685332336
"ANN05",2009,785,76,2469,15.4354103773585,7.37412264150943
"ANN05",2010,582,11,3082,13.8023089622642,6.72470047169811
"ANN05",2011,728,26,2810,14.0996320754717,6.94326179245283
"ANN05",2012,811,70,2566,15.3820582166516,7.2746864122639
"ANN05",2014,996,22,1403,16.4497979280147,8.40211454952446
"ANN06",2004,767,136,2435,17.0506807511737,6.72704225352113
"ANN06",2005,800,44,2519,16.0388523593512,6.5436111375832
"ANN06",2006,690,65,2516,16.1975471698113,6.31304245283019
"ANN06",2007,841,92,2474,17.3300235849057,5.95471698113208
"ANN06",2008,740,42,2774,15.8519368951336,5.87684577021876
"ANN06",2009,824,118,2576,17.1777638783712,6.22986835376052
"ANN06",2010,615,35,2997,15.4600188679245,5.55787971698113
"ANN06",2011,733,49,2766,15.9257193396226,5.73519811320755
"ANN06",2012,879,107,2577,17.5862746478873,6.02958920187793
"ANN06",2014,832,44,1762,18.5893213973073,6.99810345985673
"ANN07",2004,631,131,2610,17.214882629108,5.73448356807512
"ANN07",2005,720,38,2684,16.192466556324,5.67638394319656
"ANN07",2006,657,53,2692,16.2627830188679,5.53931603773585
"ANN07",2007,734,86,2727,17.3833254716981,4.72002358490566
"ANN07",2008,644,32,2988,16.0946907305303,4.78387242782453
"ANN07",2009,717,96,2772,17.3306037735849,5.06099528301887
"ANN07",2010,550,35,3084,15.6270731132075,4.93747877358491
"ANN07",2011,629,51,2902,15.974429245283,5.02358254716981
"ANN07",2012,730,100,2847,17.4813661971831,4.5311103286385
"ANN07",2014,720,34,2209,18.4289989401259,5.13348141388448
"ANN08",2004,746,140,2474,16.948896713615,7.07605633802817
"ANN08",2005,756,49,2496,15.8291446004245,6.84426963949609
"ANN08",2006,694,72,2494,16.0812264150943,6.69049528301887
"ANN08",2007,838,96,2476,17.0938679245283,6.34674528301887
"ANN08",2008,777,39,2797,15.4615889042716,6.23480237975845
"ANN08",2009,808,120,2523,17.2304787735849,6.48703537735849
"ANN08",2010,599,40,2966,15.4707216981132,5.93066509433962
"ANN08",2011,732,49,2765,15.8384221698113,6.09705188679245
"ANN08",2012,835,101,2617,17.150924566089,6.27597988006534
"ANN08",2014,851,41,1690,18.1787995912948,7.33636503630792
"ANN09",2004,766,101,2492,16.125985915493,7.32173708920188
"ANN09",2005,728,26,2491,15.11558159302,7.09563074561362
"ANN09",2006,705,40,2545,15.1236660417772,7.0435808678441
"ANN09",2007,849,58,2484,16.1208952287734,6.68805161537622
"ANN09",2008,765,30,2784,14.7348232688956,6.57159064329045
"ANN09",2009,844,87,2473,16.3817617924528,6.94532311320755
"ANN09",2010,587,17,2968,14.654820754717,6.29410849056604
"ANN09",2011,753,37,2786,15.0129669811321,6.40485141509434
"ANN09",2012,812,71,2608,16.45279342723,6.67878403755869
"ANN09",2014,881,28,1597,17.3480898237255,7.73077989481844
"ANN10",2004,786,79,2424,15.5803286384977,8.0393896713615
"ANN10",2005,693,16,2394,14.4099944748041,7.60586492031165
"ANN10",2006,796,34,2520,14.5908018867925,7.65153525006779
"ANN10",2007,862,49,2328,15.5490566037736,7.41412735849057
"ANN10",2008,784,24,2672,14.1791694541443,7.17944644565812
"ANN10",2009,842,75,2453,15.4015778301887,7.53754952830189
"ANN10",2010,558,4,3018,13.7692146226415,6.79573820754717
"ANN10",2011,726,21,2820,14.2824787735849,6.90606839622642
"ANN10",2012,757,65,2522,15.4564647887324,7.30387558685446
"ANN10",2014,976,18,1422,16.2995153438668,8.59891812753512
"ANN11",2004,780,56,2553,14.7107042253521,8.12854460093897
"ANN11",2005,670,7,2417,13.9288542798612,7.73300825276871
"ANN11",2006,803,23,2541,14.0136320754717,7.79334905660377
"ANN11",2007,851,26,2325,14.8395518867925,7.64360849056604
"ANN11",2008,697,21,2898,13.4518588702815,7.12215541972859
"ANN11",2009,756,64,2477,14.6876108490566,7.63345283018868
"ANN11",2010,579,0,2923,13.5014858490566,7.17657547169811
"ANN11",2011,759,18,2729,13.7656768867925,7.33574528301887
"ANN11",2012,775,38,2335,14.8842535211268,7.77468075117371
"ANN11",2014,1105,15,1282,15.7139566160963,9.01541860634034
"ANN12",2004,772,60,2695,14.3882629107981,7.90044600938967
"ANN12",2005,610,10,2585,13.4174614964915,7.60864553573445
"ANN12",2006,735,22,2720,13.5604716981132,7.5088679245283
"ANN12",2007,788,30,2472,14.5124528301887,7.40650943396226
"ANN12",2008,719,19,2742,13.3401856968078,7.21447040753156
"ANN12",2009,778,58,2524,14.3651509433962,7.5372358490566
"ANN12",2010,497,0,3230,12.659679245283,6.80112735849057
"ANN12",2011,666,12,2898,12.9232945284653,6.95565330188679
"ANN12",2012,712,35,2600,14.2267253521127,7.40415492957746
"ANN12",2014,997,16,1407,15.2896622452465,8.79631823076472
"ANN13",2004,563,32,3161,13.9251271316651,6.21008060492266
"ANN13",2005,443,4,3350,12.8826441896309,5.93821521795305
"ANN13",2006,418,15,3270,12.7547877358491,5.95179245283019
"ANN13",2007,560,20,3124,13.6760141509434,5.49924528301887
"ANN13",2008,412,10,3335,12.6023230500714,5.42869530307965
"ANN13",2009,606,46,3008,13.9363795545915,6.20208551496868
"ANN13",2010,363,0,3650,12.588414842589,5.42221790876014
"ANN13",2011,460,9,3227,13.0114504716981,5.79415094339623
"ANN13",2012,478,49,3195,14.3266478873239,5.94501877934272
"ANN13",2014,568,11,2156,14.6856277869904,7.01275553054
"ANN14",2004,594,32,3161,13.6731450240064,6.44246824669669
"ANN14",2005,432,3,3234,12.7071899224675,6.22070723903221
"ANN14",2006,421,16,3152,12.6407075471698,6.40167452830189
"ANN14",2007,615,20,3016,13.5842610062893,5.94308962264151
"ANN14",2008,437,8,3288,12.5580369720576,5.74907035371979
"ANN14",2009,599,41,3070,13.5504221698113,6.30094575471698
"ANN14",2010,360,0,3669,12.1681981132075,5.63291745283019
"ANN14",2011,453,9,3310,12.3087311320755,5.75281603773585
"ANN14",2012,457,20,3309,13.3158333333333,5.93085915492958
"ANN14",2014,513,11,2211,14.0836914411105,7.14588220332094
"ANN15",2004,728,46,3040,13.8807076833719,7.29785204390187
"ANN15",2005,535,10,2796,13.2302239553123,7.21327743494587
"ANN15",2006,720,23,2960,12.9819811320755,6.95877358490566
"ANN15",2007,772,33,2666,14.0630188679245,6.79665094339623
"ANN15",2008,632,18,3018,12.8600367882278,6.56366738509957
"ANN15",2009,826,67,2641,14.2377264150943,7.40693632075472
"ANN15",2010,491,0,3294,12.4398089622642,6.54034433962264
"ANN15",2011,655,12,3093,12.5611297169811,6.61857547169811
"ANN15",2012,650,39,2711,13.9634577464789,7.15164319248826
"ANN15",2014,1168,12,1441,15.0327610822311,8.87625096854168
"ANN17",2004,776,89,2693,15.219389688984,7.28269953051643
"ANN17",2005,653,22,2709,14.1822781202136,6.97667416221574
"ANN17",2006,678,32,2735,14.3684433962264,6.83719339622642
"ANN17",2007,806,46,2554,15.3127482722568,6.730588712938
"ANN17",2008,706,25,2880,13.7759708841308,6.65983289966681
"ANN17",2009,809,75,2571,15.3612877358491,7.00944339622642
"ANN17",2010,549,5,3199,13.6871674528302,6.19689858490566
"ANN17",2011,683,23,2918,13.9871367924528,6.35768632075472
"ANN17",2012,771,51,2734,15.229058685446,6.66970422535211
"ANN17",2014,891,18,1548,16.2112148145153,8.11115763448607
"ANN18",2004,761,58,2865,14.3606103286385,7.70584429063584
"ANN18",2005,585,12,2699,13.6239858490566,7.28313679245283
"ANN18",2006,708,30,2779,13.6095990566038,7.29945754716981
"ANN18",2007,778,28,2533,14.5156298089294,7.21394176328897
"ANN18",2008,660,17,2859,13.3307129875923,7.04301385785281
"ANN18",2009,804,67,2515,14.8619316037736,7.64683041860302
"ANN18",2010,530,0,3191,13.111983490566,6.75958254716981
"ANN18",2011,695,16,2921,13.2838867924528,6.91999528301887
"ANN18",2012,735,43,2633,14.5589131455399,7.35678918765072
"ANN18",2014,1051,12,1410,15.5415184542038,8.84808068685538
"ANN19",2004,756,54,2865,14.4352112676056,7.11481220657277
"ANN19",2005,553,12,2892,13.6843234163913,6.79246929122896
"ANN19",2006,637,20,2851,13.6488443396226,6.66686320754717
"ANN19",2007,734,24,2645,14.4477122641509,6.48224056603774
"ANN19",2008,636,18,3027,13.4688221301945,6.18842874793021
"ANN19",2009,765,62,2715,14.6336132075472,6.78357783018868
"ANN19",2010,484,0,3349,13.1313702830189,5.96574056603774
"ANN19",2011,657,17,3096,13.3134764150943,5.9718608490566
"ANN19",2012,668,36,3001,14.445455399061,6.21861122222636
"ANN19",2014,816,11,1708,15.3374611221038,7.85902214523418
"ANN20",2004,770,56,2910,14.4580281690141,7.50401408450704
"ANN20",2005,587,15,2724,13.7943867924528,7.24787735849057
"ANN20",2006,667,24,2821,13.9106367924528,6.97801886792453
"ANN20",2007,833,22,2557,14.7385377358491,7.01061320754717
"ANN20",2008,643,36,2879,13.8035267912482,6.69613311022954
"ANN20",2009,798,59,2670,14.8064976415094,7.10204481132075
"ANN20",2010,518,0,3258,13.2949716981132,6.33359905660377
"ANN20",2011,712,21,3086,13.4972924528302,6.35945518867925
"ANN20",2012,689,44,2942,14.8671361502347,6.76372535211268
"ANN20",2014,902,12,1572,15.9890305446205,8.39878838769198
"ANN21",2004,726,35,3094,13.569765258216,7.36431924882629
"ANN21",2005,480,5,2956,12.8791981132075,7.14985849056604
"ANN21",2006,588,18,3033,12.8193806742939,7.02397344543524
"ANN21",2007,705,15,2786,13.6710849056604,6.88641509433962
"ANN21",2008,557,10,3122,12.6511142084344,6.60148097722485
"ANN21",2009,728,46,2839,13.7401816037736,7.07785849056604
"ANN21",2010,398,0,3536,12.1485094339623,6.29920754716981
"ANN21",2011,562,6,3266,12.1442830188679,6.34943396226415
"ANN21",2012,552,18,3152,13.3685845070423,6.78818544600939
"ANN21",2014,783,8,1680,14.5013764114,8.3448076339923
"ANN22",2004,770,42,2985,13.7708809506188,7.62625487957079
"ANN22",2005,650,6,2592,13.3410141509434,7.56561320754717
"ANN22",2006,812,27,2815,13.1502830188679,7.20518867924528
"ANN22",2007,907,19,2527,13.9544219844764,7.21436320754717
"ANN22",2008,708,9,2755,13.0211829798141,6.89352904343614
"ANN22",2009,906,68,2520,14.3288160377358,7.58461556603774
"ANN22",2010,584,1,3124,12.7933183962264,6.69968160377358
"ANN22",2011,769,12,3031,13.0587830188679,6.54160849056604
"ANN22",2012,677,48,2763,14.1527769953052,6.91958450704225
"ANN22",2014,1062,7,1492,14.9103222629365,8.66667420075593
"ANN23",2004,773,83,2850,15.0740375586854,7.28637687996108
"ANN23",2005,754,20,2629,14.7420047169811,7.13174528301887
"ANN23",2006,741,43,2734,14.6066981132075,6.85176886792453
"ANN23",2007,953,53,2438,15.9387971698113,6.89313679245283
"ANN23",2008,794,34,2674,15.0387710188933,6.54441439934903
"ANN23",2009,878,104,2476,16.4707806301043,7.22971390706129
"ANN23",2010,613,10,3127,14.0102088282358,6.32270717207186
"ANN23",2011,772,43,2993,14.0743281608062,6.22316028337854
"ANN23",2012,920,80,2614,17.0952535211268,6.74776995305164
"ANN23",2014,1039,39,1415,18.2908330418355,8.43302706254496
"ANN24",2004,746,61,2942,14.2976291079812,7.17633802816901
"ANN24",2005,614,7,2876,13.6385377358491,6.95450471698113
"ANN24",2006,649,27,2881,13.5399528301887,6.86443396226415
"ANN24",2007,814,26,2574,14.5733018867925,6.80082547169811
"ANN24",2008,671,13,2799,13.5208254240236,6.62280483489883
"ANN24",2009,785,62,2692,14.5618655660377,6.88003301886792
"ANN24",2010,536,0,3347,12.9015023584906,6.14929952830189
"ANN24",2011,687,16,3111,13.0861981132075,6.21941037735849
"ANN24",2012,727,32,2843,14.3506525821596,6.62027464788732
"ANN24",2014,935,9,1618,15.7423507047752,8.07048045439093
"ANN25",2004,666,64,3018,14.3818779342723,6.68908450704225
"ANN25",2005,575,10,3025,13.623679245283,6.56153301886792
"ANN25",2006,572,22,2956,13.5938679245283,6.47054245283019
"ANN25",2007,706,31,2758,14.5027830188679,6.17554245283019
"ANN25",2008,657,16,3029,13.4237271791945,6.05113227015224
"ANN25",2009,783,64,2716,14.6738962264151,6.63232311320755
"ANN25",2010,475,0,3400,13.0353679245283,5.86478537735849
"ANN25",2011,642,15,3082,13.1743018867925,6.02379009433962
"ANN25",2012,658,38,2962,14.4291948356808,6.37295305164319
"ANN25",2014,856,14,1694,15.6358166991889,7.86826044077541
"ANN27",2004,666,67,2678,15.014744576205,7.02575117370892
"ANN27",2005,670,10,2616,14.1329952830189,6.73495283018868
"ANN27",2006,620,27,2821,14.055442155495,6.62454187315933
"ANN27",2007,729,45,2712,15.1395943341574,6.26132837018554
"ANN27",2008,642,23,2955,13.9141977140089,6.08842818853403
"ANN27",2009,745,63,2692,15.1643437297297,6.56924786041464
"ANN27",2010,507,1,3195,13.4026721698113,6.02002358490566
"ANN27",2011,614,16,2966,13.5950471698113,6.21603066037736
"ANN27",2012,687,56,2782,15.1498309859155,6.11426525821596
"ANN27",2014,765,17,1976,16.0159520602503,7.00102933696955
"ANN29",2004,680,65,2954,14.6215023474178,6.82413145539906
"ANN29",2005,640,10,2937,14.0149056603774,6.52349056603774
"ANN29",2006,627,12,2926,13.9475471698113,6.36214622641509
"ANN29",2007,811,30,2695,14.8760613207547,6.23933962264151
"ANN29",2008,628,17,2889,13.8565148764298,6.0627193961659
"ANN29",2009,795,63,2768,15.1089551886792,6.47833567742242
"ANN29",2010,539,1,3323,13.4988679245283,5.77129481132075
"ANN29",2011,672,20,3082,13.7106627358491,5.87828066037736
"ANN29",2012,762,34,2875,15.0034389671361,6.052297911751
"ANN29",2014,886,15,1881,16.4476069878342,7.17306174250682
"ANN30",2004,752,93,2818,15.0916197183099,7.29159624413146
"ANN30",2005,721,13,2785,14.3958254716981,7.03655660377358
"ANN30",2006,662,27,2785,14.3042773995382,6.97900945758111
"ANN30",2007,901,43,2507,15.4097641509434,6.89530660377358
"ANN30",2008,731,27,2748,14.3249364921933,6.57114665986527
"ANN30",2009,803,90,2699,16.1540203875222,6.79180896226415
"ANN30",2010,600,9,3166,14.3473254716981,6.07904245283019
"ANN30",2011,760,29,2958,14.7087995283019,6.11099528301887
"ANN30",2012,846,65,2791,16.0557451283587,6.39705868544601
"ANN30",2014,933,23,1558,17.0685767198137,8.06702587306768
"ANN31",2004,752,64,2955,14.151103286385,7.69370892018779
"ANN31",2005,581,9,2735,13.3622405660377,7.47931603773585
"ANN31",2006,768,24,2873,13.2928301886792,7.39608490566038
"ANN31",2007,843,35,2483,14.5052358490566,7.35132075471698
"ANN31",2008,718,15,2721,13.3178972707604,7.12535859893537
"ANN31",2009,862,72,2510,14.5678702830189,7.70435141509434
"ANN31",2010,562,0,3217,12.8312948113208,6.84749056603774
"ANN31",2011,725,12,2959,12.9548443396226,6.91477358490566
"ANN31",2012,721,46,2548,14.3705774647887,7.54239906103286
"ANN31",2014,1211,13,1378,15.5194206674458,9.14996186620416
"ANN32",2004,736,70,2755,14.5982394366197,7.5568544600939
"ANN32",2005,692,6,2700,13.7776179245283,7.21419811320755
"ANN32",2006,718,15,2742,13.8368095387135,7.10706054684314
"ANN32",2007,797,39,2484,14.5796932211621,7.23029770158398
"ANN32",2008,700,16,2675,13.7953063769371,6.79995465598184
"ANN32",2009,810,66,2618,14.6603962264151,7.05154215550099
"ANN32",2010,583,0,3314,13.0078514150943,6.19778897482099
"ANN32",2011,702,21,3034,13.2469504716981,6.35458490566038
"ANN32",2012,782,33,2727,14.6051924882629,6.74640567064948
"ANN32",2014,1023,12,1461,16.0315973909678,8.37457559872266
"ANN33",2004,721,81,2702,15.0831220657277,7.31284037558685
"ANN33",2005,620,13,2642,14.0798727005685,7.06372180432355
"ANN33",2006,613,42,2711,14.1854481132075,6.9789858490566
"ANN33",2007,771,54,2578,15.4191745283019,6.74952830188679
"ANN33",2008,726,27,2870,14.0165351417691,6.57745291391624
"ANN33",2009,766,63,2584,15.0659245283019,6.85779009433962
"ANN33",2010,504,2,3194,13.3843254716981,6.28256132075472
"ANN33",2011,654,14,3004,13.5406886792453,6.3917429245283
"ANN33",2012,686,61,2780,15.1288122065728,6.68397887323944
"ANN33",2014,831,17,1687,16.1584769895004,7.805254059554
"ANN34",2004,648,51,2972,14.0478169014085,6.86781690140845
"ANN34",2005,544,3,2919,13.3436960831771,6.84484559154231
"ANN34",2006,574,10,2988,13.2127594339623,6.50030660377359
"ANN34",2007,680,24,2785,14.1592369064423,6.27943396226415
"ANN34",2008,527,11,3022,13.1427604138466,6.12024956006758
"ANN34",2009,717,47,2872,14.0950235849057,6.56373113207547
"ANN34",2010,451,0,3512,12.4634316037736,5.79666981132076
"ANN34",2011,579,10,3176,12.727733490566,5.96856367924528
"ANN34",2012,664,22,2978,14.0830469483568,6.14028169014084
"ANN34",2014,820,7,1896,15.5020423015794,7.33806647229792
"ANN35",2004,760,85,2573,15.1915962441315,7.62868544600939
"ANN35",2005,704,12,2492,14.2259564005499,7.31838795918388
"ANN35",2006,671,24,2632,14.2370047169811,7.2426179245283
"ANN35",2007,861,42,2459,15.3134669811321,7.18313679245283
"ANN35",2008,800,26,2689,14.3752203546302,6.95743141726457
"ANN35",2009,832,69,2389,15.453445754717,7.36258962264151
"ANN35",2010,587,1,2989,13.7920235849057,6.72233962264151
"ANN35",2011,738,21,2821,14.0125283018868,6.86498349056604
"ANN35",2012,842,55,2506,15.607813625584,7.2344313313858
"ANN35",2014,920,18,1493,16.5291250717881,8.27470394540126
"ANN36",2004,767,83,2375,15.9206103286385,7.0237558685446
"ANN36",2005,803,19,2396,15.0128537735849,6.72981132075472
"ANN36",2006,754,33,2426,15.1032311320755,6.67959905660377
"ANN36",2007,865,53,2519,15.9047877358491,6.10146226415094
"ANN36",2008,664,27,2793,14.5191145477578,6.11207789520458
"ANN36",2009,837,77,2544,15.818375,6.42465094339623
"ANN36",2010,620,2,2855,14.3226933962264,6.11960613207547
"ANN36",2011,739,27,2714,14.642179245283,6.16676886792453
"ANN36",2012,787,58,2592,15.8950821596244,6.06915962441315
"ANN36",2014,827,23,1809,16.8594316965132,6.89677123183945
"ANN37",2004,656,118,2926,15.9621361502347,5.11
"ANN37",2005,726,22,2777,14.5648820754717,6.72834905660377
"ANN37",2006,678,32,2744,14.4837971698113,6.59575471698113
"ANN37",2007,913,51,2501,15.6047877358491,6.51349056603774
"ANN37",2008,715,28,2794,14.3941076390123,6.12284772286871
"ANN37",2009,832,84,2626,15.6186721698113,6.60355896226415
"ANN37",2010,581,10,3258,13.8641674528302,5.8031391509434
"ANN37",2011,724,29,3036,14.2185188679245,5.83712028301887
"ANN37",2012,838,63,2832,15.7264248826291,6.11188262910798
"ANN37",2014,927,24,1751,17.0442756727042,7.48487219601028
"ANN38",2004,765,43,2881,13.8961186374826,7.96888894353168
"ANN38",2005,652,5,2539,13.344858490566,8.04919811320755
"ANN38",2006,810,27,2770,13.2170990566038,7.91707547169811
"ANN38",2007,868,36,2329,14.3422877358491,8.01191037735849
"ANN38",2008,714,14,2615,13.1685510759929,7.75888017795392
"ANN38",2009,902,74,2416,14.2785327310663,8.26192995819687
"ANN38",2010,580,0,3142,12.6625363784557,7.38209806271854
"ANN38",2011,766,12,2862,12.9269032055944,7.43818289948581
"ANN38",2012,748,44,2320,14.3500798122066,8.09739081840855
"ANN38",2014,1393,13,1234,15.322849677975,9.7053703600228
"APGAR01",2004,673,35,3335,13.287613622059,6.34935899244121
"APGAR01",2005,605,7,3187,12.9819339622642,6.00485849056604
"APGAR01",2006,689,36,3191,12.6506603773585,5.7348820754717
"APGAR01",2007,800,18,2858,13.9228389368541,5.97962249307255
"APGAR01",2008,514,54,3092,13.0605922428939,5.90304451236107
"APGAR01",2009,888,71,2809,14.1535188679245,6.27295754716981
"APGAR01",2010,483,0,3615,12.1087028301887,5.17633254716981
"APGAR01",2011,668,14,3419,12.2053871758558,5.18816417288835
"APGAR01",2012,624,50,3277,13.5831626627164,5.90676200418024
"APGAR01",2014,903,13,1914,15.2213412757575,7.3121868713702
"ARBIT01",2004,750,40,2904,13.5793661971831,8.14354460093897
"ARBIT01",2005,742,6,2445,13.2508726415094,8.17063679245283
"ARBIT01",2006,781,22,2802,13.4382075471698,7.62337264150943
"ARBIT01",2007,1089,15,2258,14.0385377358491,8.21629716981132
"ARBIT01",2008,791,8,2497,13.1585976236187,7.83091489473283
"ARBIT01",2009,1039,85,2374,14.3609503117337,8.21947110262084
"ARBIT01",2010,658,0,3095,12.1587153524559,7.25501112038684
"ARBIT01",2011,837,9,3006,12.5428773584906,7.05909433962264
"ARBIT01",2012,714,34,2464,13.8056784037559,7.89592723004695
"ARBIT01",2014,1482,5,1284,15.0002468336446,9.7508815858685
"ARBIT02",2004,806,135,2154,16.428661971831,8.26920187793427
"ARBIT02",2005,837,39,2099,15.2744103773585,7.90724056603774
"ARBIT02",2006,880,70,2204,15.5291037735849,7.90054245283019
"ARBIT02",2007,982,82,2053,16.7158962264151,7.71412735849057
"ARBIT02",2008,965,49,2283,16.6397910189011,7.60380902362301
"ARBIT02",2009,954,196,2043,18.4924221698113,7.85729716981132
"ARBIT02",2010,624,15,2727,13.5322382075472,7.65131603773585
"ARBIT02",2011,870,76,2417,15.9118349056604,7.44070283018868
"ARBIT02",2012,999,142,1967,17.4732605633803,7.81824647887324
"ARBIT02",2014,1140,76,1152,19.0547697640467,8.63949690567864
"ARBIT03",2004,790,70,2448,15.1406103286385,8.37288732394366
"ARBIT03",2005,774,13,2292,14.2084905660377,7.83606132075472
"ARBIT03",2006,876,35,2467,14.4108254716981,7.90365566037736
"ARBIT03",2007,986,42,2123,15.4656761006289,7.895
"ARBIT03",2008,870,22,2428,14.4182368761082,7.57950474625206
"ARBIT03",2009,981,86,2158,15.7391155660377,8.1277358490566
"ARBIT03",2010,710,4,2789,13.9331603773585,7.32830424528302
"ARBIT03",2011,857,21,2621,14.513875,7.45724764150943
"ARBIT03",2012,862,57,2211,15.6372723004695,7.86573474178404
"ARBIT03",2014,1318,21,1118,16.9397369550066,9.41101039121743
"ARBIT04",2004,794,64,2478,14.8468779342723,8.50570422535211
"ARBIT04",2005,783,10,2305,13.7771422607276,8.40080154371429
"ARBIT04",2006,907,35,2497,14.1861022273083,8.04287480673352
"ARBIT04",2007,982,42,2047,14.889999854904,8.49885285662453
"ARBIT04",2008,878,21,2423,14.0029683506313,7.71554086181906
"ARBIT04",2009,991,94,2217,15.2246115327893,8.26388443396226
"ARBIT04",2010,721,0,2838,13.4320094339623,7.41097877358491
"ARBIT04",2011,845,15,2681,13.7471580188679,7.42057075471698
"ARBIT04",2012,875,49,2213,15.0620328638498,8.00714084507042
"ARBIT04",2014,1458,22,1137,16.2886912333882,9.71451811421035
"ARBIT05",2004,809,8,3206,12.7012100340429,7.64582159624413
"ARBIT05",2005,636,1,2788,12.3338811912009,7.57438941442614
"ARBIT05",2006,799,13,2983,12.3358726415094,7.23688679245283
"ARBIT05",2007,1056,1,2506,13.3454245283019,7.66582547169811
"ARBIT05",2008,673,14,2918,12.2868898143086,6.79650843678041
"ARBIT05",2009,1017,60,2513,13.3586547561539,8.05657850760027
"ARBIT05",2010,627,0,3232,11.9361745283019,6.5181108490566
"ARBIT05",2011,828,2,3201,11.9861297169811,6.481625
"ARBIT05",2012,635,16,2730,13.1462910798122,7.38232394366197
"ARBIT05",2014,1337,3,1537,14.3695184587827,9.30351347628999
"ATHEA02",2004,763,69,2476,15.2168779342723,7.87974178403756
"ATHEA02",2005,720,20,2397,14.1752594339623,7.55686320754717
"ATHEA02",2006,695,43,2502,14.4118867924528,7.48877358490566
"ATHEA02",2007,835,51,2396,15.4275943396226,7.31540094339623
"ATHEA02",2008,733,22,2712,14.1454870016886,7.15240929911329
"ATHEA02",2009,815,71,2372,15.1259599056604,7.58422405660377
"ATHEA02",2010,589,4,2940,13.5400872641509,6.98673113207547
"ATHEA02",2011,711,14,2722,13.8068561320755,7.1475141509434
"ATHEA02",2012,771,60,2497,15.2587370892019,7.35842018779343
"ATHEA02",2014,906,17,1368,16.1218324781798,8.3700393151239
"BACKM02",2004,802,20,3332,12.1711971830986,7.14605633802817
"BACKM02",2005,681,0,2860,11.9394575471698,7.21839622641509
"BACKM02",2006,789,33,3124,11.648608490566,6.82524469572205
"BACKM02",2007,973,2,2696,12.7493946540881,7.11533018867925
"BACKM02",2008,698,38,2804,11.9780412118389,6.72484020342629
"BACKM02",2009,949,68,2706,13.0345589622642,7.34114622641509
"BACKM02",2010,582,0,3310,11.0080778301887,6.14553066037736
"BACKM02",2011,747,4,3401,11.0672783018868,5.87007547169811
"BACKM02",2012,564,15,2910,12.4267629107981,6.88376056338028
"BACKM02",2014,1329,0,1714,13.9549337016575,8.93397513812155
"BACKM03",2004,753,41,3393,12.9858920187793,6.43549295774648
"BACKM03",2005,574,3,3209,12.6373113207547,6.46040094339623
